ref	hebrew	draft_gloss
Job 23:1	וַ/יַּ֥עַן אִיּ֗וֹב וַ/יֹּאמַֽר	עָנָה 316 vb אִיּוֹב n אָמַר 5287 vb
Job 23:2	גַּם הַ֭/יּוֹם מְרִ֣י שִׂחִ֑/י יָ֝דִ֗/י כָּבְדָ֥ה עַל אַנְחָתִֽ/י	גַּם 768 adv יוֹם 2285 n מְרִי n שִׂיחַ n יָד 1604 n כָּבֵד vb עַל, עָ֑ל subst אֲנָחָה n
Job 23:3	מִֽי יִתֵּ֣ן יָ֭דַעְתִּי וְ/אֶמְצָאֵ֑/הוּ אָ֝ב֗וֹא עַד תְּכוּנָתֽ/וֹ	מִי 423 pron נָתַן 2007 vb יָדַע 943 vb מָצָא 452 vb בּוֹא 2569 vb עַד, in poetry עֲדֵי prep תְּכוּנָה n
Job 23:4	אֶעֶרְכָ֣ה לְ/פָנָ֣י/ו מִשְׁפָּ֑ט וּ֝/פִ֗/י אֲמַלֵּ֥א תוֹכָחֽוֹת	עָרַךְ vb [פָּנֶה], pl מִשְׁפָּט 422 n פֶּה 485 n מָלֵא 249 vb תּוֹכַ֫חַת n
Job 23:5	אֵ֭דְעָה מִלִּ֣ים יַעֲנֵ֑/נִי וְ֝/אָבִ֗ינָה מַה יֹּ֥אמַר לִֽ/י	יָדַע 943 vb מִלָּה n עָנָה 316 vb בִּין vb מָה, rarely מָה־, מַה־, מַה‍ּ, מֶה, מַ‍ּ, מָ—pron אָמַר 5287 vb לְ prep
Job 23:6	הַ/בְּ/רָב כֹּ֭חַ יָרִ֣יב עִמָּדִ֑/י לֹ֥א אַךְ ה֝֗וּא יָשִׂ֥ם בִּֽ/י	רַב 429 adj כֹּחַ and כּוֹחַ n רִיב vb עִם prep לֹא or לוֹא adv אַךְ 159 adv הוּא m שׂוּמָה perhaps n בְּ prep
Job 23:7	שָׁ֗ם יָ֭שָׁר נוֹכָ֣ח עִמּ֑/וֹ וַ/אֲפַלְּטָ֥ה לָ֝/נֶ֗צַח מִ/שֹּׁפְטִֽ/י	שָׁם adv יָשָׁר adj [יָכַח] vb עִם prep [פָּלַט] vb נֵ֫צַח n שָׁפַט 185 vb
Job 23:8	הֵ֤ן קֶ֣דֶם אֶהֱלֹ֣ךְ וְ/אֵינֶ֑/נּוּ וְ֝/אָח֗וֹר וְֽ/לֹא אָבִ֥ין לֽ/וֹ	הֵן 100 demonstr קֶ֫דֶם n הָלַךְ 1546 vb אַ֫יִן, אָ֑֫יִן cstr אָחוֹר 41 subst לֹא or לוֹא adv בִּין vb לְ prep
Job 23:9	שְׂמֹ֣אול בַּ/עֲשֹׂת֣/וֹ וְ/לֹא אָ֑חַז יַעְטֹ֥ף יָ֝מִ֗ין וְ/לֹ֣א אֶרְאֶֽה	שְׂמֹאל, שְׂמֹאול 54 n [עָשָׂה] vb לֹא or לוֹא adv חָזָה vb [עָטַף] vb יָמִין 137 n לֹא or לוֹא adv רָאָה 1315 vb
Job 23:10	כִּֽי יָ֭דַע דֶּ֣רֶךְ עִמָּדִ֑/י בְּ֝חָנַ֗/נִי כַּ/זָּהָ֥ב אֵצֵֽא	כִּי עַל כֵּן forasmuch as base יָדַע 943 vb דֶּ֫רֶךְ 715 n עִם prep [בָּחַן] vb זָהָב 385 n יָצָא 1068 vb
Job 23:11	בַּ֭/אֲשֻׁר/וֹ אָחֲזָ֣ה רַגְלִ֑/י דַּרְכּ֖/וֹ שָׁמַ֣רְתִּי וְ/לֹא אָֽט	[אַשֻּׁר] n אָחַז 68 vb רֶ֫גֶל 247 n דֶּ֫רֶךְ 715 n שָׁמַר 465 vb לֹא or לוֹא adv נָטָה 215 vb
Job 23:12	מִצְוַ֣ת שְׂ֭פָתָי/ו וְ/לֹ֣א אָמִ֑ישׁ מֵ֝/חֻקִּ֗/י צָפַ֥נְתִּי אִמְרֵי פִֽי/ו	מִצְוָה 181 n שָׂפָה 176 n לֹא or לוֹא adv [מוּשׁ, מִישׁ] vb חֹק 127 n צָפַן vb אֹמֶר n פֶּה 485 n
Job 23:13	וְ/ה֣וּא בְ֭/אֶחָד וּ/מִ֣י יְשִׁיבֶ֑/נּוּ וְ/נַפְשׁ֖/וֹ אִוְּתָ֣ה וַ/יָּֽעַשׂ	הוּא m אֶחָד 972 adj מִי 423 pron שׁוּב 1056 vb נֶ֫פֶשׁ 756 n [אָוָה] vb [עָשָׂה] vb
Job 23:14	כִּ֭י יַשְׁלִ֣ים חֻקִּ֑/י וְ/כָ/הֵ֖נָּה רַבּ֣וֹת עִמּֽ/וֹ	כִּי עַל כֵּן forasmuch as base [שָׁלַם] vb חֹק 127 n וְ/כָ/הֵ֖נָּה רַב 429 adj עִם prep
Job 23:15	עַל כֵּ֭ן מִ/פָּנָ֣י/ו אֶבָּהֵ֑ל אֶ֝תְבּוֹנֵ֗ן וְ/אֶפְחַ֥ד מִמֶּֽ/נּוּ	עַל, עָ֑ל subst כֵּן adv [פָּנֶה], pl [בָּהַל] vb בִּין vb פָּחַד vb [מֵן] n
Job 23:16	וְ֭/אֵל הֵרַ֣ךְ לִבִּ֑/י וְ֝/שַׁדַּ֗י הִבְהִילָֽ/נִי	אֵל n [רָכַךְ] vb לֵב קָמָי prob שַׁדַּי 48 n [בָּהַל] vb
Job 23:17	כִּֽי לֹ֣א נִ֭צְמַתִּי מִ/פְּנֵי חֹ֑שֶׁךְ וּ֝/מִ/פָּנַ֗/י כִּסָּה אֹֽפֶל	כִּי עַל כֵּן forasmuch as base לֹא or לוֹא adv [צָמַת] vb [פָּנֶה], pl חֹ֫שֶׁךְ n [פָּנֶה], pl [כָּסָה] vb אֹ֫פֶל n
Job 24:1	מַדּ֗וּעַ מִ֭/שַּׁדַּי לֹא נִצְפְּנ֣וּ עִתִּ֑ים ו/ידע/ו וְ֝/יֹדְעָ֗י/ו לֹא חָ֥זוּ יָמָֽי/ו	מַדּוּעַ 61 and מַדֻּעַ adv שַׁדַּי 48 n לֹא or לוֹא adv צָפַן vb עֵת 297 n יָדַע 943 vb יָדַע 943 vb לֹא or לוֹא adv חָזָה vb יוֹם 2285 n
Job 24:2	גְּבֻל֥וֹת יַשִּׂ֑יגוּ עֵ֥דֶר גָּ֝זְל֗וּ וַ/יִּרְעֽוּ	[גְּבוּלָה] n [נָשַׂג] vb עֵ֫דֶר n גָּזַל vb רָעָה 167 vb
Job 24:3	חֲמ֣וֹר יְתוֹמִ֣ים יִנְהָ֑גוּ יַ֝חְבְּל֗וּ שׁ֣וֹר אַלְמָנָֽה	חֲמוֹר n יָתוֹם n [נָהַג] vb [חָבַל] vb שׁוֹר 78 n אַלְמָנָה 61 n
Job 24:4	יַטּ֣וּ אֶבְיוֹנִ֣ים מִ/דָּ֑רֶךְ יַ֥חַד חֻ֝בְּא֗וּ עֲנִיֵּי אָֽרֶץ	נָטָה 215 vb אֶבְיוֹן adj דֶּ֫רֶךְ 715 n יָחְדָּו 92 adv [חָבָא] vb עָנָו n אֶ֫רֶץ n
Job 24:5	הֵ֤ן פְּרָאִ֨ים בַּֽ/מִּדְבָּ֗ר יָצְא֣וּ בְּ֭/פָעֳלָ/ם מְשַׁחֲרֵ֣י לַ/טָּ֑רֶף עֲרָבָ֥ה ל֥/וֹ לֶ֝֗חֶם לַ/נְּעָרִֽים	הֵן 100 demonstr פֶּ֫רֶא n מִדְבָר 270 n יָצָא 1068 vb פֹּ֫עַל 37 n [שָׁחַר] vb טֶ֫רֶף n עֲרָבָה 61 n לְ prep לֶ֫חֶם 296 n נַ֫עַר 239 n
Job 24:6	בַּ֭/שָּׂדֶה בְּלִיל֣/וֹ יקצירו יִקְצ֑וֹרוּ וְ/כֶ֖רֶם רָשָׁ֣ע יְלַקֵּֽשׁוּ	שָׂדַי n בְּלִיל n [קָצַר] vb [קָצַר] vb כֶּרֶם 92 n רָשָׁע 263 adj [לָקַשׁ] vb
Job 24:7	עָר֣וֹם יָ֭לִינוּ מִ/בְּלִ֣י לְב֑וּשׁ וְ/אֵ֥ין כְּ֝ס֗וּת בַּ/קָּרָֽה	עָרוֹם, עָרֹם adj לוּן, לִין vb בְּלִי subst לְבוּשׁ, לְבֻשׁ n אַ֫יִן, אָ֑֫יִן cstr כְּסוּת n קָרָה n
Job 24:8	מִ/זֶּ֣רֶם הָרִ֣ים יִרְטָ֑בוּ וּֽ/מִ/בְּלִ֥י מַ֝חְסֶ֗ה חִבְּקוּ צֽוּר	זֶ֫רֶם n הַר 568 n [רָטֵב, רָטֹב] vb בְּלִי subst מַחְסֶּה n [חָבַק] vb צוּר n
Job 24:9	יִ֭גְזְלוּ מִ/שֹּׁ֣ד יָת֑וֹם וְֽ/עַל עָנִ֥י יַחְבֹּֽלוּ	גָּזַל vb שֹׁד n יָתוֹם n עוּל n עָנִי adj [חָבַל] vb
Job 24:10	עָר֣וֹם הִ֭לְּכוּ בְּלִ֣י לְב֑וּשׁ וּ֝/רְעֵבִ֗ים נָ֣שְׂאוּ עֹֽמֶר	עָרוֹם, עָרֹם adj הָלַךְ 1546 vb בְּלִי subst לְבוּשׁ, לְבֻשׁ n רָעֵב adj נָשָׂא 656 vb עֹ֫מֶר n
Job 24:11	בֵּין שׁוּרֹתָ֥/ם יַצְהִ֑ירוּ יְקָבִ֥ים דָּ֝רְכ֗וּ וַ/יִּצְמָֽאוּ	בַּ֫יִן subst [שׁוּרָה] n [צָהַר] vb יֶ֫קֶב n דָּרַךְ vb [צָמֵא] vb
Job 24:12	מֵ֘/עִ֤יר מְתִ֨ים יִנְאָ֗קוּ וְ/נֶֽפֶשׁ חֲלָלִ֥ים תְּשַׁוֵּ֑עַ וֶ֝/אֱל֗וֹהַּ לֹא יָשִׂ֥ים תִּפְלָֽה	עִיר n [מַת] n נָאַק vb נֶ֫פֶשׁ 756 n חָלָל 90 n [שָׁוַע] vb אֱלֹהַּ 67 לֹא or לוֹא adv שׂוּמָה perhaps n תִּפְלָה n
Job 24:13	הֵ֤מָּה הָיוּ֮ בְּֽ/מֹרְדֵ֫י א֥וֹר לֹֽא הִכִּ֥ירוּ דְרָכָ֑י/ו וְ/לֹ֥א יָ֝שְׁב֗וּ בִּ/נְתִיבֹתָֽי/ו	הֵ֫מָּה and הֵם (without appreciable distinction in usage, הָיָה 3570 vb [מָרַד] vb אוֹר 121 n לֹא or לוֹא adv [נָכַר] vb דֶּ֫רֶךְ 715 n לֹא or לוֹא adv יָשַׁב 1090 vb נְתִיבָה n
Job 24:14	לָ/א֡וֹר יָ֘ק֤וּם רוֹצֵ֗חַ יִֽקְטָל עָנִ֥י וְ/אֶבְי֑וֹן וּ֝/בַ/לַּ֗יְלָה יְהִ֣י כַ/גַּנָּֽב	אוֹר 121 n קוּם 628 vb רָצַח vb [קָטַל] vb עָנִי adj אֶבְיוֹן adj לַ֫יְלָה, לַ֫יִל 242 n הָיָה 3570 vb גַּנָּב n
Job 24:15	וְ/עֵ֤ין נֹאֵ֨ף שָׁ֤מְרָֽה נֶ֣שֶׁף לֵ֭/אמֹר לֹא תְשׁוּרֵ֣/נִי עָ֑יִן וְ/סֵ֖תֶר פָּנִ֣ים יָשִֽׂים	עַ֫יִן 859 n [נָאַף] vb שָׁמַר 465 vb נֶ֫שֶׁף n אָמַר 5287 vb לֹא or לוֹא adv [שׁוּר] vb עַ֫יִן 859 n סִתְרָה n [פָּנֶה], pl שׂוּמָה perhaps n
Job 24:16	חָתַ֥ר בַּ/חֹ֗שֶׁךְ בָּ֫תִּ֥ים יוֹמָ֥ם חִתְּמוּ לָ֗/מוֹ לֹא יָ֥דְעוּ אֽוֹר	חָתַר vb חֹ֫שֶׁךְ n בַּ֫יִת 2034 n יוֹמָם 51 subst חָתַם vb לְ prep לֹא or לוֹא adv יָדַע 943 vb אוֹר 121 n
Job 24:17	כִּ֤י יַחְדָּ֨ו בֹּ֣קֶר לָ֣/מוֹ צַלְמָ֑וֶת כִּֽי יַ֝כִּ֗יר בַּלְה֥וֹת צַלְמָֽוֶת	כִּי עַל כֵּן forasmuch as base יָחְדָּו 92 adv בֹּ֫קֶר 214 n לְ prep צַלְמָ֫וֶת n כִּי עַל כֵּן forasmuch as base [נָכַר] vb בַּלָּהָה n צַלְמָ֫וֶת n
Job 24:18	קַֽל ה֤וּא עַל פְּנֵי מַ֗יִם תְּקֻלַּ֣ל חֶלְקָתָ֣/ם בָּ/אָ֑רֶץ לֹֽא יִ֝פְנֶה דֶּ֣רֶךְ כְּרָמִֽים	קַל adj הוּא m עַל, עָ֑ל subst [פָּנֶה], pl [מַי] 580 n [קָלַל] 82 vb [חֶלְקָה] n אֶ֫רֶץ n לֹא or לוֹא adv פָּנָה 135 vb דֶּ֫רֶךְ 715 n כֶּרֶם 92 n
Job 24:19	צִיָּ֤ה גַם חֹ֗ם יִגְזְל֥וּ מֵֽימֵי שֶׁ֗לֶג שְׁא֣וֹל חָטָֽאוּ	צִיָּה n גַּם 768 adv חֹם n גָּזַל vb [מַי] 580 n שֶׁ֫לֶג n שְׁאוֹל, שְׁאֹל n חָטָא 238 vb
Job 24:20	יִשְׁכָּ֘חֵ֤/הוּ רֶ֨חֶם מְתָ֘ק֤/וֹ רִמָּ֗ה ע֥וֹד לֹֽא יִזָּכֵ֑ר וַ/תִּשָּׁבֵ֖ר כָּ/עֵ֣ץ עַוְלָֽה	שָׁכַח 102 vb רֶ֫חֶם, רַ֫חַם n [מָתֹק] vb רִמָּה n עוֹד and (14 t לֹא or לוֹא adv זָכַר vb שָׁבַר 148 vb עֵץ 329 n עַוְלָה n
Job 24:21	רֹעֶ֣ה עֲ֭קָרָה לֹ֣א תֵלֵ֑ד וְ֝/אַלְמָנָ֗ה לֹ֣א יְיֵטִֽיב	רָעָה 167 vb עָקָר adj לֹא or לוֹא adv יָלַד 497 vb אַלְמָנָה 61 n לֹא or לוֹא adv [יָטַב] vb
Job 24:22	וּ/מָשַׁ֣ךְ אַבִּירִ֣ים בְּ/כֹח֑/וֹ יָ֝ק֗וּם וְֽ/לֹא יַאֲמִ֥ין בַּֽ/חַיִּֽין	מָשַׁךְ vb אָבִּיר adj כֹּחַ and כּוֹחַ n קוּם 628 vb לֹא or לוֹא adv [אָמַן] vb חַיִּים n
Job 24:23	יִתֶּן ל֣/וֹ לָ֭/בֶטַח וְ/יִשָּׁעֵ֑ן וְ֝/עֵינֵ֗י/הוּ עַל דַּרְכֵי/הֶֽם	נָתַן 2007 vb לְ prep בֶּ֫טַח n [שָׁעַן] vb עַ֫יִן 859 n עַל, עָ֑ל subst דֶּ֫רֶךְ 715 n
Job 24:24	ר֤וֹמּוּ מְּעַ֨ט וְֽ/אֵינֶ֗/נּוּ וְֽ/הֻמְּכ֗וּ כַּ/כֹּ֥ל יִקָּפְצ֑וּ/ן וּ/כְ/רֹ֖אשׁ שִׁבֹּ֣לֶת יִמָּֽלוּ	[רָמֹם] vb מְעַט 101 subst אַ֫יִן, אָ֑֫יִן cstr [מָכַךְ] vb כֹּל once כּוֹל n קָפַץ vb רֹאשׁ 599 n שִׁבֹּ֫לֶת n [מָלַל] vb
Job 24:25	וְ/אִם לֹ֣א אֵ֭פוֹ מִ֣י יַכְזִיבֵ֑/נִי וְ/יָשֵׂ֥ם לְ֝/אַ֗ל מִלָּתִֽ/י	כִּי אם־ each part לֹא or לוֹא adv אֵפוֹ, elsewh מִי 423 pron [כָּזַב] vb שׂוּמָה perhaps n אַל adv מִלָּה n
